Date,AGG,EFA,GSG,SHV,SPY,VNQ
2010-01-04,65.85274505615234,35.128440856933594,32.70000076293945,88.75595092773438,84.79637908935547,23.803865432739258
2010-01-05,66.1523666381836,35.15940475463867,33.029998779296875,88.72374725341797,85.02082061767578,23.777141571044922
2010-01-06,66.11408233642578,35.30800247192383,33.27000045776367,88.73177337646484,85.08071899414062,23.73439598083496
2010-01-07,66.03759765625,35.17178726196289,33.11000061035156,88.73177337646484,85.43984985351562,23.99087905883789
2010-01-08,66.07577514648438,35.450435638427734,33.18000030517578,88.76399230957031,85.72418975830078,23.814552307128906
2010-01-11,66.0248794555664,35.7414665222168,33.02000045776367,88.76399230957031,85.8438949584961,23.95347785949707
2010-01-12,66.44561004638672,35.32040023803711,32.279998779296875,88.75595092773438,85.04328918457031,23.5527400970459
2010-01-13,66.16510772705078,35.617618560791016,32.2599983215332,88.74791717529297,85.7615966796875,24.028276443481445
2010-01-14,66.3371810913086,35.89007568359375,32.20000076293945,88.74791717529297,85.9935302734375,24.006919860839844
2010-01-15,66.46467590332031,35.32658386230469,31.770000457763672,88.73985290527344,85.02831268310547,23.825237274169922
2010-01-19,66.35636138916016,35.67335510253906,32.0099983215332,88.75595092773438,86.09078979492188,24.311471939086914
2010-01-20,66.5284194946289,34.76310348510742,31.420000076293945,88.75595092773438,85.21540069580078,24.038965225219727
2010-01-21,66.54759216308594,34.02003479003906,30.8799991607666,88.75595092773438,83.57675170898438,23.349689483642578
2010-01-22,66.58577728271484,33.357452392578125,30.079999923706055,88.73985290527344,81.71368408203125,22.761945724487305
2010-01-25,66.57941436767578,33.766151428222656,30.350000381469727,88.77204895019531,82.1326675415039,22.922245025634766
2010-01-26,66.6623306274414,33.57419204711914,30.040000915527344,88.77204895019531,81.78851318359375,22.708511352539062
2010-01-27,66.61129760742188,33.53704071044922,29.579999923706055,88.73985290527344,82.17758178710938,22.911561965942383
2010-01-28,66.55394744873047,32.97355270385742,29.549999237060547,88.73985290527344,81.23480224609375,22.7138614654541
2010-01-29,66.70690155029297,32.49674987792969,29.239999771118164,88.77204895019531,80.3519058227539,22.58562660217285
2010-02-01,66.61546325683594,33.09119415283203,29.760000228881836,88.74947357177734,81.60143280029297,22.99704360961914
2010-02-02,66.69220733642578,33.64230728149414,30.540000915527344,88.76560974121094,82.58911895751953,23.312301635742188
2010-02-03,66.57071685791016,33.28934097290039,30.43000030517578,88.75756072998047,82.17758178710938,22.932926177978516
2010-02-04,66.73052978515625,31.933259963989258,29.18000030517578,88.75756072998047,79.64107513427734,22.08336067199707
2010-02-05,66.75615692138672,31.877525329589844,28.610000610351562,88.741455078125,79.80574798583984,22.48944854736328
2010-02-08,66.88404846191406,31.24591636657715,28.81999969482422,88.77366638183594,79.22958374023438,21.997867584228516
2010-02-09,66.7625732421875,32.230472564697266,29.389999389648438,88.77366638183594,80.2247314453125,21.928407669067383
2010-02-10,66.60907745361328,32.02613067626953,29.459999084472656,88.76560974121094,80.0676040649414,21.97115135192871
2010-02-11,66.50035858154297,32.3233642578125,29.860000610351562,88.77366638183594,80.90557098388672,22.179542541503906
2010-02-12,66.5131607055664,32.04471969604492,29.5,88.77366638183594,80.83824920654297,22.441362380981445
2010-02-16,66.67938232421875,32.75681686401367,30.40999984741211,88.74947357177734,82.11023712158203,23.07719612121582
2010-02-17,66.47479248046875,32.8001594543457,30.469999313354492,88.76560974121094,82.49930572509766,23.285572052001953
2010-02-18,66.44921875,32.98592758178711,30.90999984741211,88.77366638183594,82.98567962646484,23.632892608642578
2010-02-19,66.50035858154297,32.78158950805664,31.100000381469727,88.75756072998047,83.15780639648438,23.64891242980957
2010-02-22,66.38528442382812,32.84351348876953,31.110000610351562,88.76560974121094,83.17273712158203,23.707685470581055
2010-02-23,66.6218490600586,32.379093170166016,30.510000228881836,88.76560974121094,82.1626205444336,23.52602195739746
2010-02-24,66.69220733642578,32.583438873291016,30.860000610351562,88.75756072998047,82.91832733154297,23.76646614074707
2010-02-25,66.82646179199219,32.385284423828125,30.350000381469727,88.78170776367188,82.80609130859375,23.857295989990234
2010-02-26,66.83927154541016,32.583438873291016,30.969999313354492,88.77366638183594,82.85845947265625,23.846616744995117
2010-03-01,66.93738555908203,32.83732986450195,30.59000015258789,88.77202606201172,83.71893310546875,24.04965591430664
2010-03-02,66.96306610107422,33.08500671386719,30.860000610351562,88.73178100585938,83.95087432861328,24.06035041809082
2010-03-03,66.96306610107422,33.48130798339844,31.360000610351562,88.75592041015625,84.02571105957031,23.996225357055664
2010-03-04,67.08493041992188,33.394615173339844,31.049999237060547,88.7640151977539,84.28010559082031,24.145832061767578
2010-03-05,66.95662689208984,34.04480743408203,31.34000015258789,88.75592041015625,85.48473358154297,24.803041458129883
2010-03-08,67.00154876708984,34.04480743408203,31.270000457763672,88.77202606201172,85.49970245361328,25.054176330566406
2010-03-09,67.0785140991211,33.96430969238281,30.989999771118164,88.7640151977539,85.64183807373047,25.112945556640625
2010-03-10,67.0335922241211,34.106719970703125,31.280000686645508,88.75592041015625,86.02346801757812,25.33735466003418
2010-03-11,67.0335922241211,34.23677062988281,31.209999084472656,88.74794006347656,86.38262939453125,25.48696517944336
2010-03-12,67.0400390625,34.46586608886719,30.979999542236328,88.7640151977539,86.39007568359375,25.69001007080078
2010-03-15,67.12340545654297,34.22438430786133,30.639999389648438,88.7640151977539,86.41255950927734,25.63123321533203
2010-03-16,67.2452392578125,34.657840728759766,31.100000381469727,88.73982238769531,87.1009292602539,26.251047134399414
2010-03-17,67.29656982421875,34.84358596801758,31.420000076293945,88.7640151977539,87.61719512939453,26.641096115112305
2010-03-18,67.23883819580078,34.63925552368164,31.31999969482422,88.7640151977539,87.57229614257812,26.4968204498291
2010-03-19,67.18756103515625,34.286293029785156,30.799999237060547,88.7640151977539,87.1290283203125,26.208301544189453
2010-03-22,67.23883819580078,34.3853645324707,30.889999389648438,88.7640151977539,87.59480285644531,26.53957748413086
2010-03-23,67.25170135498047,34.62686538696289,30.75,88.77202606201172,88.21088409423828,26.464765548706055
2010-03-24,66.91173553466797,34.057193756103516,30.479999542236328,88.75592041015625,87.78266143798828,26.60903549194336
2010-03-25,66.73855590820312,34.038612365722656,30.329999923706055,88.75592041015625,87.63990020751953,26.674177169799805
2010-03-26,66.84758758544922,34.372982025146484,30.270000457763672,88.74794006347656,87.58733367919922,26.534208297729492
2010-03-29,66.77068328857422,34.66402053833008,30.940000534057617,88.74794006347656,88.14328002929688,26.61495590209961
2010-03-30,66.7962646484375,34.66402053833008,31.200000762939453,88.77202606201172,88.20340728759766,26.57726287841797
2010-03-31,66.83477020263672,34.66402053833008,31.15999984741211,88.7640151977539,87.90286254882812,26.27581024169922
2010-04-01,66.80968475341797,35.277042388916016,31.8799991607666,88.73421478271484,88.50392150878906,26.410388946533203
2010-04-05,66.39788818359375,35.314205169677734,32.380001068115234,88.72615814208984,89.22515869140625,26.99178695678711
2010-04-06,66.48159790039062,35.21513366699219,32.31999969482422,88.74227142333984,89.43553161621094,27.610868453979492
2010-04-07,66.76464080810547,34.96744155883789,32.22999954223633,88.73421478271484,88.92465209960938,27.00254249572754
2010-04-08,66.70030212402344,34.93027877807617,32.02000045776367,88.73421478271484,89.23268127441406,27.034854888916016
2010-04-09,66.77108001708984,35.388511657714844,32.0099983215332,88.74227142333984,89.8187026977539,27.41705894470215
2010-04-12,66.92549133300781,35.49997329711914,31.84000015258789,88.75028228759766,89.96144104003906,27.244794845581055
2010-04-13,67.03488159179688,35.46900939941406,31.969999313354492,88.74227142333984,90.0290756225586,27.91232681274414
2010-04-14,66.95767974853516,35.93961715698242,32.45000076293945,88.74227142333984,91.05084228515625,27.95539665222168
